"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
110019,34896,206621,115582,27238,262143,159857,82.41,104.92,271.26,134.67,1.34694
124322,44425,183401,120443,26992,262143,138144,152.76,150.06,318.78,203.68,1.42358
118661,40223,193337,110227,23820,262143,114071,133.33,198.86,249.48,179.56,1.57686
118521,39333,197478,109748,26213,262143,156995,134.67,132.98,318.78,188.27,2.01359
124054,40471,200885,116960,27124,262143,154504,123.28,190.32,340.56,183.58,2.03669
115422,37759,200331,106595,23886,262143,174938,107.2,119.56,297,156.11,3.2881
138381,45493,199347,63038.6,14113,262143,102163,326.96,203.74,212.85,287.43,3.73848
145696,54818,174182,89577.3,24216,242424,81136.3,294.13,178.12,182.16,271.35,4.15632
115425,37281,202905,127688,30565,262143,151432,131.99,158.6,317.79,174.2,4.41458
133804,47016,186511,102941,20846,262143,114640,136.01,162.26,253.44,178.89,4.73478
128942,44418,190245,112813,25399,262143,111465,141.37,143.96,254.43,151.42,4.76312
134559,47939,183952,98341.8,21788,262143,138859,81.74,109.8,241.56,133.33,4.79252
110311,36799,196455,108318,21914,262143,1254.42,127.97,158.6,224.73,162.14,5.00774
92035.6,29291,205922,110643,25245,262143,171687,110.55,131.76,271.26,144.05,5.04658
119984,38639,203506,130594,28667,262143,68392.1,129.31,178.12,266.31,158.12,5.20196
115879,38197,198818,121778,24224,262143,171562,128.64,162.26,339.57,201.67,5.99773
133358,48724,179373,96194.6,21652,262143,85304.6,136.68,152.5,194.04,166.83,6.02503
124867,44944,182077,81959.6,20624,260440,127188,290.78,197.64,220.77,248.57,6.60244
121958,40353,198068,109752,26200,262143,104158,117.25,145.18,247.5,162.14,6.68853
107197,35332,198836,101589,23673,262143,112960,93.8,143.96,309.87,131.32,6.8859
101803,33709,197923,109580,26280,262143,161608,93.8,119.56,297.99,128.64,6.91319
109731,34981,205578,97420.7,22258,262143,113070,105.86,112.24,233.64,124.62,7.15151
118931,36522,213413,114227,26205,262143,83720.9,67.67,145.18,226.71,124.62,7.30373
127037,42814,194458,117929,26586,262143,124058,128.64,180.56,266.31,177.55,7.37197
114103,36031,207540,108629,22801,262143,160984,99.16,89.06,267.3,111.89,7.42027
109578,34095,210625,122022,26883,262143,175726,108.54,172.02,298.98,184.92,7.44336
107310,34606,203220,109822,24168,262143,162657,127.97,135.42,280.17,148.07,8.22759
26808.8,27866,63049.7,142.74,154,60744.2,2.02,4.02,1.22,0.99,-5.36,8.87744
112702,37565,196619,107347,23157,262143,77621.5,121.27,175.68,270.27,180.9,9.03912
121623,41643,191406,100001,24239,262143,86696.4,119.26,123.22,252.45,142.71,9.05697
8410.98,9057,60861.4,450.18,394,74880.7,34.34,-1.34,-1.22,-4.95,-14.74,9.20499
115634,36523,207491,100524,24448,262143,122371,141.37,146.4,225.72,186.26,9.20604
124526,42754,190881,109515,23253,262143,136135,96.48,119.56,254.43,135.34,9.22704
102291,32166,208412,114193,26225,262143,168026,97.15,109.8,355.41,119.93,9.74671
115104,38859,194123,112451,24878,262143,137666,134,123.22,268.29,162.81,9.99762
115751,36671,206863,112671,23833,262143,117123,137.35,130.54,255.42,146.73,10.196
143292,46024,204040,116001,23977,262143,60334.4,130.65,97.6,224.73,140.7,10.2191
110356,35126,205896,106515,24157,262143,158770,98.49,128.1,276.21,139.36,10.68
116306,38030,200426,119750,24926,262143,129678,132.66,183,339.57,180.23,10.7367
107502,33281,211690,128049,33248,252400,107081,115.91,163.48,263.34,164.15,10.7546
120721,40418,195744,118884,26958,262143,119733,114.57,164.7,320.76,162.14,10.8721
111038,36559,199048,122808,28702,262143,95879.3,124.62,157.38,259.38,154.77,10.9015
112198,37751,194776,108459,23801,262143,150794,122.61,189.1,296.01,152.76,10.9404
139757,52002,176130,100311,24113,262143,148767,163.48,129.32,256.41,184.25,11.0286
142047,49169,189331,68764.1,17341,259877,31494.8,346.39,265.96,145.53,285.42,11.2616
130311,44832,190491,118658,25159,262143,98162.9,134,154.94,263.34,172.86,11.3582
94372.7,32410,190830,100639,23741,262143,88853.7,79.73,135.42,279.18,154.1,11.5146
93494.1,27251,224844,115517,25168,262143,229333,84.42,104.92,374.22,131.32,11.6238
123098,42662,189100,118430,25240,262143,141757,144.72,104.92,283.14,164.82,11.8138
139065,48679,187222,112063,23192,262143,153295,163.48,147.62,273.24,178.89,11.9304
121831,40417,197549,114519,25252,262143,182953,139.36,173.24,303.93,186.93,12.0249
103353,31618,214225,109799,23013,262143,102047,127.97,128.1,281.16,180.9,12.1582
104841,33047,207911,120269,26941,262143,157863,86.43,90.28,274.23,130.65,12.2674
18325.8,19468,61690.8,212.28,238,58453.7,39.39,2.68,-31.72,11.88,-14.74,12.4123
116938,41289,185610,108210,24476,262143,157048,140.7,153.72,269.28,143.38,12.5046
25037.2,25766,63682.4,132.98,151,57715.1,0,7.37,-7.32,-4.95,-1.34,12.638
111297,36912,197603,108288,24562,262143,124589,126.63,153.72,305.91,180.9,12.7975
108330,34754,204280,124012,26376,262143,164211,142.71,163.48,334.62,165.49,13.0128
104466,33144,206561,107278,22553,262143,119817,113.9,128.1,253.44,126.63,13.1534
132365,44734,193917,109158,25993,262143,90802,142.04,112.24,242.55,154.1,13.2742
122215,40045,200011,108371,23577,262143,107273,89.11,151.28,288.09,120.6,13.4065
118549,39343,197474,114567,23171,262143,123799,121.94,141.52,297.99,167.5,13.4295
109078,36283,197022,112457,26112,262143,137541,121.94,140.3,272.25,163.48,13.4516
125922,41229,200160,101319,24085,262143,106625,122.61,128.1,229.68,156.78,13.4747
122304,42760,187449,110327,24072,262143,127794,122.61,174.46,240.57,146.73,13.5996
104505,34211,200194,110450,24250,262143,153729,109.21,128.1,327.69,179.56,13.8715
120627,40087,197207,106855,22025,262143,161418,129.31,146.4,315.81,161.47,13.923
112908,35271,209790,108241,24715,262143,163603,136.68,156.16,329.67,172.86,14.0479
117039,37381,205191,115419,25048,262143,142102,108.54,134.2,319.77,118.59,14.0679
117615,39210,196582,115230,25158,262143,134109,95.14,152.5,254.43,119.93,14.871
116348,36334,209858,109341,24173,262143,148227,89.78,129.32,288.09,136.01,15.0295
122279,39596,202385,116988,24364,262143,149812,133.33,143.96,286.11,165.49,15.4295
131549,44156,195243,102334,21939,262143,116023,110.55,130.54,301.95,141.37,15.4872
140019,49019,187199,98386.9,22793,262143,85493.5,135.34,117.12,241.56,156.78,15.5103
122838,43119,186700,114523,24550,262143,153227,116.58,161.04,282.15,166.16,15.5292
114370,37027,202430,114681,24307,262143,155116,141.37,137.86,276.21,179.56,15.5492
118881,38625,201708,111258,24677,262143,138005,96.48,156.16,319.77,133.33,15.5639
118057,39770,194542,108806,24961,262143,130662,142.71,107.36,317.79,163.48,16.03
115052,38330,196714,116480,24709,262143,167386,132.66,128.1,265.32,198.32,16.0573
126896,43073,193074,123307,29845,262143,149431,123.28,153.72,310.86,185.59,16.4426
118443,40727,190593,117651,26778,262143,114698,110.55,170.8,263.34,162.14,16.4877
118689,40051,194212,117538,23828,262143,164061,140.03,157.38,306.9,176.88,16.5087
132665,43563,199581,105706,22526,262143,174228,137.35,123.22,271.26,194.3,16.62
130987,41237,208172,126815,24747,262143,73631,101.17,172.02,267.3,164.15,16.64
129371,43734,193864,109541,22773,262143,173764,140.03,175.68,302.94,165.49,16.6925
130364,43435,196697,116616,27004,262143,165695,154.77,196.42,303.93,183.58,16.7239
125123,43286,189440,103029,22914,262143,189279,85.76,111.02,272.25,111.89,16.7617
116694,39155,195317,116744,26920,262143,159314,107.2,123.22,302.94,187.6,16.7827
122764,40598,198173,113476,23684,262143,162846,130.65,170.8,291.06,183.58,16.8037
118661,40400,192490,99555.7,24409,262143,118284,99.16,100.04,269.28,140.7,16.8331
118876,39171,198889,117652,24805,262143,138019,128.64,153.72,305.91,178.22,16.8562
120586,38274,206478,114793,24658,262143,146109,140.7,146.4,285.12,154.1,17.0777
121862,38022,210046,118120,23973,262143,164313,137.35,140.3,304.92,171.52,17.1376
122018,38795,206124,112523,23408,262143,150478,118.59,163.48,313.83,178.89,17.1617
121270,40251,197450,115223,24152,262143,162525,124.62,143.96,307.89,174.87,17.2058
110304,34249,211068,121123,25188,262143,145123,127.97,147.62,302.94,167.5,17.5502
122761,40179,200235,107355,21512,262143,127715,145.39,135.42,281.16,205.02,17.5806
136135,46126,193421,97887.9,23977,262143,119205,163.48,114.68,227.7,176.21,17.8735
115215,38222,197549,126179,30200,262143,183873,144.72,172.02,309.87,184.25,17.9008
119350,41029,190639,111268,26284,262143,134226,115.24,134.2,322.74,138.02,19.21
132790,47756,182228,120238,27725,262143,105564,131.99,146.4,309.87,194.97,19.443
120156,37654,209128,114770,24924,262143,170205,118.59,168.36,307.89,190.95,19.4745
133873,46387,189137,124052,28705,262143,166149,142.71,140.3,318.78,192.96,19.5113
117067,38359,200007,125106,27357,262143,155625,125.29,123.22,272.25,166.16,19.7244
122853,43007,187209,107910,26037,262143,136983,93.13,130.54,303.93,111.89,19.759
117842,37738,204646,109106,23600,262143,121551,131.32,154.94,270.27,176.21,19.7968
139823,48972,187115,112073,26020,262143,127507,153.43,140.3,286.11,177.55,19.8462
126229,43491,190212,113560,26000,262143,163153,139.36,159.82,278.19,170.85,19.8777
123708,39744,203989,114296,23196,262143,199765,115.91,130.54,289.08,160.8,19.9039
128607,43448,193988,109895,24473,262143,121643,136.68,161.04,308.88,187.6,19.9281
6132.62,7267,55305.8,458.72,416,72266,-18.18,6.7,25.62,24.75,2.68,20.4918
120084,38430,204783,113515,24163,262143,163558,142.04,139.08,271.26,178.22,20.8813
133703,45247,193657,125930,28561,262143,156334,129.98,165.92,268.29,165.49,21.9007
151388,54043,183583,92788.3,21195,262143,86273.2,116.58,84.18,186.12,131.99,21.9291
125114,43024,190579,111287,24875,262143,161281,134.67,148.84,331.65,178.89,22.0099
118412,38889,199549,119126,23928,262143,189015,112.56,122,311.85,138.02,22.7574
127015,43363,191963,111168,24134,262143,140671,112.56,108.58,304.92,129.98,22.9002
118420,37139,208966,117331,24391,262143,176097,140.7,175.68,317.79,194.3,22.9201
129636,40875,207849,110754,21421,262143,145986,127.97,157.38,295.02,178.22,22.9421
126602,43326,191502,112580,25568,262143,111130,123.95,162.26,287.1,174.2,23.3957
113602,36516,203883,123575,28092,262143,147125,82.41,118.34,281.16,149.41,23.4734
115355,37010,204266,109515,22912,262143,141656,98.49,109.8,275.22,126.63,23.5553
120365,41010,192349,114147,23936,262143,203144,138.69,136.64,305.91,174.2,23.8177
139090,48931,186291,115220,26576,262143,142221,158.12,165.92,296.01,188.94,23.845
145514,54871,173797,99039.6,21172,262143,88377,143.38,148.84,234.63,166.16,23.908
117386,37579,204716,106428,23524,262143,142917,111.89,172.02,275.22,162.81,23.9321
146707,50907,188866,115524,25552,262143,113296,119.93,114.68,253.44,172.86,23.9521
131691,46007,187591,96367.8,22685,262143,121786,125.29,157.38,257.4,168.17,25.0502
116738,39115,195591,119368,27453,262143,136687,113.23,162.26,303.93,151.42,25.066
124514,42650,191328,117822,26533,262143,121408,95.81,142.74,303.93,138.02,25.0849
128877,45391,186074,111618,24160,262143,222547,135.34,158.6,316.8,194.97,25.424
116977,39363,194757,106352,23862,262143,131384,99.16,119.56,263.34,129.98,26.0203
119644,44459,176364,107371,25960,262143,116016,123.95,157.38,271.26,179.56,26.141
