"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
117154,39911,192374,119056,24296,262143,183568,106.53,151.28,304.92,129.98,0.501458
126090,43171,191411,120363,23602,262143,189328,150.75,184.22,342.54,175.54,0.739096
124572,44119,185044,107397,26931,261347,199235,140.03,148.84,294.03,194.3,1.38153
121162,39050,203341,106717,23828,262143,128957,138.69,165.92,279.18,162.81,2.56066
119618,40535,193396,117502,26094,262143,188436,136.68,215.94,302.94,188.27,3.06614
23181.2,20818,72975.4,6840.54,5685,78856.9,63036.1,6.03,21.96,23.76,10.05,3.22927
123147,41774,193196,122977,31240,257985,118051,149.41,147.62,248.49,176.21,4.76586
132375,47022,184494,110760,23787,262143,139840,152.09,145.18,266.31,165.49,4.87461
108452,36447,195009,120049,28990,262143,202746,108.54,174.46,336.6,149.41,7.21374
124792,41271,198162,103776,24353,262143,123908,136.01,165.92,259.38,168.84,7.42318
9151.55,9653,62131.6,74.42,80,60964.9,-8.08,7.37,7.32,-0.99,6.03,7.45742
124677,41571,196552,116021,25723,262143,132089,142.71,153.72,293.04,172.86,7.64975
108469,35330,201207,125087,27720,262143,122162,139.36,159.82,249.48,190.95,7.67291
130085,46818,182093,113827,27840,262143,129865,128.64,168.36,315.81,166.16,9.84488
122263,39627,202201,114305,24628,262143,141395,107.87,137.86,283.14,136.68,10.5266
115884,37667,201625,112396,25144,262143,140285,132.66,143.96,302.94,180.9,11.0925
40175.1,39192,67180,230.58,214,70613.5,2.02,-6.7,6.1,-5.94,2.68,11.1841
89529.7,35117,167082,87116.5,25760,221633,170941,1278.36,3414.78,1061.28,1810.34,11.7893
139775,49643,184524,116067,24537,262143,189975,103.18,169.58,297,167.5,11.9685
141056,50807,181949,102819,22649,262143,80670.7,137.35,159.82,211.86,181.57,11.9897
117823,40628,190057,124157,28704,262143,134557,148.74,146.4,293.04,185.59,13.1779
120682,38258,206728,111989,22524,262143,161232,146.06,161.04,292.05,170.18,13.198
121964,41242,193809,119354,25445,262143,143021,134.67,172.02,297,187.6,13.4356
99389.8,28442,229014,120466,27069,262143,126830,135.34,142.74,345.51,187.6,13.4598
137199,46128,194925,94862.3,21804,262143,115411,162.81,108.58,192.06,190.95,13.9552
28247.8,17248,107331,2829.18,2296,80754.9,87.87,0,-6.1,-4.95,-3.35,14.0136
116369,36950,206397,111739,23516,262143,161407,96.48,157.38,247.5,145.39,15.4596
130675,43862,195247,114142,25257,262143,130555,216.41,329.4,321.75,282.07,15.5039
123624,42104,192424,128312,27197,262143,157399,134.67,190.32,297,170.18,15.6721
125941,41936,196816,114814,24236,262143,200581,144.72,168.36,286.11,178.22,15.9288
133071,48170,181045,106594,22286,262143,119412,126.63,180.56,289.08,170.85,16.7716
135416,47107,188393,111682,22278,262143,207979,164.82,201.3,305.91,207.7,17.2721
122433,41622,192777,113349,23153,262143,190504,114.57,158.6,316.8,163.48,17.3104
154342,56622,178641,89191.8,21155,262143,74904.6,373.86,236.68,185.13,330.98,17.403
114131,33342,224333,121251,30003,262143,199962,215.74,276.94,320.76,296.14,17.4231
146402,53023,180952,99624,24070,262143,142247,119.93,113.46,212.85,144.72,17.843
149352,54459,179730,109079,24766,262143,147558,158.12,135.42,300.96,182.24,18.2921
136924,45938,195338,114305,23185,262143,120489,129.31,143.96,280.17,174.87,18.4875
121899,39893,200256,109089,24897,262143,149383,136.68,156.16,327.69,170.18,19.3051
142144,52092,178829,113126,24477,262143,137560,120.6,156.16,250.47,172.86,19.6173
123394,41071,196897,114556,26372,262143,189768,166.16,202.52,320.76,242.54,19.9093
125510,42859,191918,121772,25500,262143,196555,144.05,167.14,364.32,186.26,19.9304
141193,48938,189081,119494,24301,262143,120952,114.57,202.52,308.88,172.86,20.0523
128351,44899,187346,111941,23917,262143,127689,117.92,132.98,321.75,138.69,21.2062
148935,55075,177224,111667,22235,262143,173773,95.14,169.58,299.97,130.65,21.2888
117852,36589,211089,124255,27109,262143,105140,84.42,152.5,302.94,136.68,21.7761
134444,49786,176976,112036,28049,261771,129721,148.74,146.4,293.04,210.38,21.8315
38100.7,37726,66187,222.04,228,63822.9,11.11,-4.69,23.18,-9.9,-5.36,22.1699
133568,45059,194268,122637,25343,262143,179236,146.06,157.38,332.64,225.79,22.2001
129375,43984,192769,104353,22540,262143,109763,131.99,181.78,249.48,189.61,22.2252
129375,46983,180464,108286,24340,262143,107551,136.68,184.22,252.45,148.07,22.9543
5094.38,5846,57110,64.66,70,60536.5,16.16,4.02,0,-8.91,5.36,23.4356
130047,45302,188132,114120,22375,262143,173606,149.41,173.24,297.99,160.13,23.5192
124030,42314,192097,120886,27946,262143,148513,127.97,185.44,342.54,187.6,24.1535
143373,50682,185393,115378,25280,262143,157371,127.97,163.48,271.26,181.57,24.1777
112080,35589,206393,116877,24710,262143,117753,91.12,131.76,320.76,123.28,25.3297
14225.3,14866,62711.6,2299.7,2081,72423.4,40.4,10.05,-8.54,14.85,2.01,26.3648
113364,33190,223845,125049,26248,262143,148257,108.54,172.02,286.11,178.89,26.5662
135799,51023,174426,111264,27396,262143,98777,121.27,157.38,246.51,146.73,26.6044
131816,46128,187277,109328,22684,262143,126436,130.65,158.6,252.45,170.85,26.6306
133818,46411,188961,108742,22285,262143,85095.5,105.86,131.76,252.45,168.84,27.0777
119340,39819,196415,119039,27764,262143,143339,147.4,146.4,354.42,178.89,27.1109
114477,37815,198397,127329,24697,262143,121801,142.04,169.58,293.04,180.23,27.3516
111197,33900,214967,107899,22205,262143,118406,84.42,122,281.16,121.94,28.5932
117452,36630,210137,105309,22849,262143,111004,98.49,79.3,239.58,134.67,28.6113
126197,34630,238822,119766,25386,262143,72736.2,97.15,140.3,251.46,146.06,28.6254
115482,37518,201722,123680,28411,262143,199896,101.17,117.12,325.71,146.06,28.6677
146025,54482,175653,94837.9,22597,262143,95687.4,167.5,114.68,198,179.56,28.6868
120570,40541,194905,130461,27673,262143,242593,117.92,137.86,336.6,157.45,29.2648
120909,39793,199127,117484,26033,262143,171113,133.33,151.28,310.86,195.64,29.29
123928,40628,199904,115369,23334,262143,122209,117.92,180.56,293.04,205.69,29.4531
140286,51276,179300,112422,25494,262143,170108,164.82,172.02,284.13,187.6,29.4883
137609,51291,175827,114835,23681,262143,116774,127.97,134.2,311.85,174.2,29.5095
121675,43244,184398,120280,28557,262143,126573,146.06,146.4,237.6,188.94,29.5346
121597,40924,194726,101627,23053,262143,174554,99.83,135.42,263.34,122.61,29.9686
117642,38430,200620,113664,24708,262143,126826,101.84,178.12,250.47,160.13,30.5406
106767,31635,221181,112976,26634,262143,152638,114.57,132.98,295.02,151.42,32.3128
120992,39405,201227,119261,26348,262143,148180,136.01,163.48,303.93,174.87,32.8414
117786,38377,201141,119135,23024,262143,162965,166.16,219.6,296.01,227.8,33.1153
6670.28,7926,55153.1,50.02,57,57510.7,-20.2,5.36,26.84,7.92,7.37,33.4003
38540.5,35674,70802.1,5559.54,5301,68732.3,777.7,7.37,-13.42,-6.93,8.04,34.0931
120727,40294,196356,119813,25988,262143,172789,137.35,154.94,313.83,188.94,34.1273
119889,39654,198140,120610,26558,262143,165399,142.71,178.12,316.8,198.99,34.1897
119964,41106,191261,115863,26338,262143,256722,115.91,170.8,310.86,174.2,35.8351
134411,48058,183294,113674,24401,262143,196534,111.22,115.9,278.19,141.37,36.0143
129176,43316,195441,120787,25925,262143,168270,142.71,168.36,333.63,215.74,36.0375
121467,37722,211029,116131,22804,262143,201649,146.73,135.42,339.57,186.93,37.712
125646,40982,200925,119677,25783,262143,217306,131.99,173.24,321.75,178.22,37.7412
136021,45807,194605,115026,24488,262143,201274,123.28,134.2,268.29,142.04,38.4944
131315,44898,191675,116065,27146,262143,116999,139.36,179.34,321.75,178.22,38.8982
117672,35555,216897,122683,25858,262143,170338,93.13,135.42,348.48,129.31,39.3785
136871,49034,182933,112283,24893,262143,205176,98.49,128.1,277.2,154.77,39.8276
126260,40975,201943,121291,25235,262143,184889,147.4,184.22,295.02,194.3,39.8588
117920,39235,196966,114342,25316,262143,175874,91.79,101.26,270.27,147.4,40.4529
112050,35360,207672,123150,27944,262143,141050,137.35,170.8,298.98,187.6,40.4731
117753,40347,191267,113356,23960,262143,187479,91.79,175.68,321.75,125.96,41.0571
119382,38298,204288,124349,27125,262143,194981,127.3,195.2,327.69,199.66,41.0803
4761.69,5359,58231.4,48.8,52,61503,-15.15,-5.36,23.18,-4.95,12.73,41.5374
133076,48966,178109,96365.4,22616,262143,134392,129.31,139.08,255.42,168.84,42.9713
122077,40673,196701,113530,24096,262143,171501,141.37,180.56,298.98,207.7,45.3064
28471.3,20530,90886.1,436.76,217,131906,5.05,12.06,7.32,8.91,-14.74,45.8693
124196,39690,205073,137666,29063,262143,119455,115.91,175.68,303.93,176.88,46.1311
120707,40111,197219,103379,22849,262143,118327,125.29,175.68,211.86,161.47,46.6104
115304,36271,208337,126235,25669,262143,157609,139.36,113.46,308.88,179.56,48.0735
117555,38899,198053,116012,25734,262143,108188,130.65,143.96,304.92,175.54,48.2205
113645,38738,192262,114939,25375,262143,156769,114.57,159.82,299.97,155.44,48.874
22612.6,23416,63287.5,115.9,132,57542.6,9.09,-14.07,-34.16,-2.97,6.03,49.1006
110375,32563,222139,124506,27497,262143,167342,117.92,161.04,350.46,166.83,49.1469
114540,36995,202906,114847,25457,262143,153505,145.39,114.68,295.02,164.15,49.6584
122491,40717,197155,118528,25764,262143,201597,113.23,164.7,297,182.91,49.6765
126372,42758,193692,106820,23767,262143,119039,131.99,169.58,306.9,189.61,50.8003
121701,41081,194148,110523,22009,262143,212265,136.01,193.98,299.97,178.89,52.2412
132988,45305,192375,85985.6,21118,262143,41643.3,215.74,145.18,189.09,192.96,52.4637
148999,53914,181118,90159.2,21957,262143,96647.9,131.32,112.24,215.82,146.73,52.4859
123905,41058,197775,116647,23580,262143,141873,121.27,132.98,316.8,134.67,52.8615
134119,45575,192861,107236,22376,262143,149389,121.27,136.64,257.4,121.27,52.8826
209473,35295,262143,216456,26856,262143,262143,185.59,183,520.74,262.64,53.08
65295.8,15815,262143,4481.06,1242,236450,1554.39,13.4,87.84,-4.95,18.09,53.4475
123208,40477,199484,126536,27207,262143,132049,149.41,158.6,318.78,197.65,54.673
130623,44512,192318,111180,24310,262143,162216,168.84,200.08,288.09,215.74,56.0032
122480,40129,200027,125842,28464,262143,175815,138.02,175.68,285.12,187.6,56.2388
137069,49859,180168,114332,25561,262143,136977,166.83,159.82,271.26,189.61,56.7533
127976,43199,194150,111587,22100,262143,183761,111.89,92.72,286.11,114.57,57.0786
129651,43510,195284,115288,25315,262143,114007,153.43,174.46,315.81,180.9,57.1762
127298,42181,197781,114847,24825,262143,191854,113.23,132.98,295.02,192.29,57.2155
128216,40901,205442,122077,25065,262143,159198,103.85,119.56,310.86,154.1,57.2377
136915,47819,187642,113209,23838,262143,127579,119.26,191.54,274.23,186.26,57.9083
124796,42978,190298,117337,27313,262143,125721,152.76,157.38,358.38,175.54,58.441
123195,40774,198012,113521,24332,262143,115417,136.68,174.46,338.58,180.9,60.0259
129569,44278,191775,106655,21004,262143,195801,98.49,141.52,256.41,139.36,60.6623
116125,39158,194351,126150,28244,262143,182183,147.4,184.22,368.28,197.65,61.0006
137752,49575,182102,124884,26596,262143,117746,148.07,161.04,290.07,170.18,62.1616
124680,43831,186422,107201,23693,262143,101639,154.1,173.24,236.61,193.63,62.219
127863,43860,191054,86652.9,22156,256314,76624.7,207.03,200.08,229.68,174.87,63.3266
125498,45530,180643,111867,24830,262143,141493,137.35,131.76,292.05,166.83,64.7313
127136,42933,194069,114599,26185,262143,177872,97.15,126.88,293.04,134,64.9841
130505,45910,186295,112203,23428,262143,160912,129.98,124.44,272.25,179.56,65.0747
120455,40827,193357,121508,26563,262143,117855,126.63,145.18,293.04,151.42,65.2177
126964,43592,190877,123285,27871,262143,131164,125.29,156.16,334.62,169.51,65.2932
125770,41223,199949,122824,27116,262143,131436,124.62,170.8,292.05,178.22,65.3264
115117,40094,188165,112429,25908,262143,164844,124.62,156.16,297.99,146.73,65.694
115916,37329,203506,120375,27084,262143,103216,89.11,102.48,286.11,126.63,66.286
132183,45969,188448,115046,25356,262143,125471,148.07,137.86,268.29,179.56,66.9607
123577,44411,182359,117811,26634,262143,89118.4,146.73,184.22,284.13,182.91,67.3373
115843,36562,207644,120170,25069,262143,140623,103.85,129.32,324.72,139.36,67.878
129372,44966,188554,117534,27289,262143,161848,102.51,124.44,290.07,129.98,69.4811
106787,33212,210719,117825,25801,262143,145041,1102.82,3623.4,1011.78,1692.42,70.5474
113767,38611,193101,100097,24172,262143,162303,117.25,173.24,285.12,166.16,70.6149
116914,38924,196848,119894,26911,262143,134949,106.53,126.88,313.83,144.05,70.6491
