"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
127258,42811,194809,107666,25873,262143,894.86,109.88,108.58,305.91,148.74,0.573157
4897.65,5302,60538,456.28,537,55684.9,41.41,12.06,31.72,9.9,13.4,1.06989
118105,36650,211190,110184,26580,262143,1282.7,131.32,145.18,295.02,169.51,2.07886
136724,49302,181744,91403.6,20316,262143,765.58,126.63,134.2,190.08,136.01,2.09848
114493,37663,199225,120552,27250,262143,1174.63,87.77,126.88,271.26,148.74,2.12223
137530,47327,190444,90772.9,22336,262143,1063.53,144.05,106.14,206.91,164.82,2.49194
128293,45178,186104,117584,23965,262143,1305.93,140.03,165.92,266.31,190.28,2.69229
125309,44050,186430,113081,27470,262143,1205.94,129.98,148.84,288.09,170.85,2.71604
114510,36399,206174,121902,25430,262143,1359.46,115.91,141.52,369.27,127.97,3.788
118830,40338,193060,104281,25260,262143,1285.73,86.43,125.66,292.05,146.06,4.09678
114373,37171,201651,116129,24650,262143,1093.83,151.42,100.04,303.93,191.62,4.18147
118942,39330,198195,114569,27217,262143,1052.42,122.61,191.54,301.95,172.19,4.38078
112971,35259,209980,105659,20274,262143,1200.89,319.59,235.46,286.11,288.1,4.40247
117582,38315,201118,108275,25547,262143,1130.19,134.67,186.66,269.28,172.19,4.52433
126140,43462,190205,107484,22996,262143,923.14,111.89,137.86,257.4,158.79,5.03965
123174,43223,186759,104555,22563,262143,1081.71,130.65,180.56,217.8,166.83,5.05514
117661,38327,201191,119782,24711,262143,1338.25,101.17,135.42,281.16,131.32,5.08406
111405,37766,193323,113859,24513,262143,1399.86,110.55,167.14,321.75,144.05,5.37425
129832,42449,200444,109463,24405,262143,1046.36,94.47,119.56,234.63,128.64,5.39387
119541,41020,190985,109413,23569,262143,1005.96,122.61,172.02,292.05,178.89,5.56944
115223,35686,211603,112923,23688,262143,1273.61,115.91,161.04,267.3,146.73,5.87202
106444,34042,204921,111417,25371,262143,1144.33,113.9,117.12,266.31,176.88,5.91953
120136,41587,189320,84027.5,20212,262143,833.25,168.17,174.46,212.85,192.96,6.29234
110256,33107,218255,120945,26504,262143,1240.28,105.86,146.4,323.73,164.15,6.48029
122429,42265,189838,113165,23625,262143,1221.09,142.04,136.64,291.06,208.37,6.58459
142298,53421,174568,89561.4,22575,260000,1072.62,173.53,150.06,239.58,173.53,6.61558
115631,36479,207736,119830,26567,262143,1234.22,137.35,131.76,331.65,177.55,6.6352
134087,48711,180402,96908.3,22469,262143,1078.68,147.4,158.6,279.18,160.13,6.65379
114908,36817,204541,119426,29706,262143,1157.46,142.71,211.06,306.9,195.64,6.79011
124316,44784,181921,116964,28165,262143,1030.2,106.53,85.4,234.63,165.49,6.84381
96580,30440,207933,113093,27883,262143,1330.17,97.82,176.9,334.62,160.8,6.86962
131292,47778,180090,63671.8,13897,262143,693.87,270.68,167.14,202.95,267.33,7.1309
110767,35890,202264,119650,26086,262143,1263.51,136.01,175.68,338.58,197.65,7.15362
119229,38759,201599,119367,26703,262143,1081.71,136.68,142.74,288.09,192.96,7.21972
125787,41445,198904,102023,21290,262143,1093.83,115.91,117.12,304.92,133.33,7.38185
130022,45667,186593,113394,25220,262143,1126.15,137.35,174.46,301.95,197.65,7.57497
119281,40041,195230,113854,22326,262143,1081.71,123.95,135.42,284.13,169.51,7.68444
113264,37614,197343,118435,30362,255641,1334.21,88.44,148.84,328.68,149.41,7.7495
114426,36390,206073,108473,22597,262143,1157.46,109.88,186.66,318.78,175.54,7.77532
119987,36852,213379,122487,25755,262143,1035.25,130.65,183,283.14,182.91,7.797
121378,39695,200394,112549,23825,262143,1202.91,144.05,139.08,237.6,182.24,7.81559
119810,41026,191387,116795,27542,262143,943.34,146.06,179.34,330.66,188.94,7.83108
127854,40871,205012,112667,24257,262143,885.77,136.68,137.86,242.55,162.81,7.87136
139039,49519,184011,99919.2,23433,262143,747.4,154.1,148.84,246.51,188.27,7.89305
121836,40091,199162,104982,22101,262143,724.17,122.61,175.68,192.06,154.1,7.91163
110662,35546,204027,117485,27140,262143,1261.49,144.05,189.1,292.05,176.21,7.94055
133227,47486,183869,103844,22192,262143,934.25,124.62,154.94,238.59,182.24,7.98186
133586,48437,180744,109996,25586,262143,1055.45,136.68,97.6,263.34,160.8,8.29271
136246,49191,181518,103978,22028,262143,917.08,124.62,115.9,219.78,136.01,8.33195
114106,35335,211634,119438,23765,262143,1026.16,121.94,180.56,268.29,162.81,8.35777
123683,43479,186428,114487,23911,262143,991.82,128.64,202.52,265.32,185.59,8.38668
28339.4,20668,89861.2,1062.62,694,100346,10.1,-1.34,-13.42,3.96,5.36,8.39908
120496,38212,206658,114152,23509,262143,892.84,93.13,98.82,263.34,131.32,8.52713
126837,39513,210372,125856,30026,262143,997.88,140.03,157.38,257.4,186.93,8.54985
125769,41430,198948,113875,25452,262143,971.62,115.24,161.04,303.93,180.23,8.89994
122979,42139,191261,117770,24969,262143,1124.13,127.3,146.4,261.36,184.25,8.92783
108802,35729,199570,115417,25112,262143,1111,121.27,159.82,301.95,191.62,9.08583
122324,40607,197420,114215,24796,262143,1079.69,129.98,196.42,315.81,192.29,9.54539
118207,39127,197991,114165,26308,262143,1112.01,143.38,157.38,262.35,169.51,9.74574
123039,38394,210019,111955,25295,262143,1230.18,120.6,146.4,280.17,156.78,9.76742
110767,34048,213206,107447,21132,262143,1209.98,107.87,147.62,311.85,125.29,9.79014
132910,45680,190683,118954,25572,262143,997.88,152.09,158.6,297.99,176.88,9.81286
127843,44223,189456,83724.9,21602,254004,918.09,446.22,217.16,207.9,375.2,9.94815
112523,35978,204968,110793,21892,262143,837.29,135.34,161.04,272.25,157.45,9.99566
128930,44117,191526,120014,25560,262143,1217.05,115.91,157.38,311.85,193.63,10.1454
115116,37896,199077,118394,25812,262143,1073.63,115.24,158.6,299.97,181.57,10.416
111956,33595,218400,107105,23814,262143,1128.17,124.62,159.82,255.42,180.9,10.4459
109845,35754,201343,116431,29075,262143,1348.35,138.69,129.32,316.8,180.9,10.5988
105229,32679,211031,123525,25224,262143,1094.84,99.83,192.76,309.87,181.57,10.7702
108739,39373,180995,103928,25096,262143,1052.42,125.29,165.92,292.05,178.89,10.8084
112529,35335,208707,118579,26236,262143,1157.46,92.46,93.94,278.19,146.06,10.9458
130537,46692,183219,79706.3,16636,262143,625.19,93.8,126.88,228.69,123.95,11.2896
114817,38064,197684,112712,25564,262143,934.25,134,150.06,224.73,184.25,11.3723
120723,42668,185425,117521,24997,262143,897.89,125.96,207.4,302.94,171.52,11.397
104832,33551,204772,120685,28446,262143,1372.59,144.05,168.36,314.82,186.93,11.6614
112084,36251,202629,119539,23675,262143,1093.83,111.22,125.66,281.16,134,11.6759
120692,41230,191843,122681,25882,262143,921.12,107.2,134.2,269.28,179.56,11.6945
109288,36658,195382,114187,23556,262143,1469.55,147.4,150.06,367.29,196.31,12.091
112288,36086,203926,122034,28034,262143,942.33,135.34,159.82,337.59,148.74,12.1158
125452,44570,184465,116487,27335,262143,952.43,95.81,108.58,288.09,127.97,12.1447
104479,34139,200567,109351,24335,262143,1147.36,93.13,129.32,297,114.57,12.1695
111239,34892,208935,112484,22434,262143,1011.01,86.43,119.56,269.28,134.67,12.1922
109743,34477,208607,112547,24403,262143,1058.48,115.91,148.84,293.04,166.16,12.3027
104509,33418,204952,104811,21926,262143,897.89,85.76,146.4,288.09,123.28,12.3286
122778,40235,199985,87844.9,20885,262143,698.92,138.69,158.6,162.36,179.56,12.3513
144986,53282,178330,72805.9,18857,253031,745.38,334.33,187.88,161.37,291.45,12.3709
103023,33677,200484,111094,25538,262143,857.49,114.57,165.92,277.2,160.8,12.3936
112441,37679,195571,106867,25096,262143,895.87,123.95,130.54,280.17,131.99,12.4484
115837,36618,207316,114474,24985,262143,935.26,136.68,201.3,304.92,171.52,12.4721
105555,34639,199708,117553,26273,262143,1055.45,113.23,139.08,247.5,165.49,12.4948
115431,36830,205400,111446,23729,262143,809.01,164.82,129.32,229.68,176.88,12.5867
133840,45882,191172,109726,22481,262143,989.8,143.38,137.86,248.49,182.91,12.6136
119504,39402,198766,113735,24605,262143,948.39,128.64,183,274.23,160.13,13.1981
111081,35700,203917,120893,27908,262143,858.5,105.19,137.86,242.55,153.43,13.2219
113722,38146,195378,107872,24864,262143,1045.35,136.01,164.7,267.3,188.94,13.4924
114693,38820,193624,115174,26883,262143,1337.24,115.91,101.26,292.05,156.78,13.7423
96246.3,29541,213520,107327,25141,262143,976.67,91.12,96.38,303.93,138.02,13.763
101577,34180,194761,109683,25686,262143,1075.65,115.24,145.18,289.08,157.45,13.7806
101493,30810,215886,114294,24824,262143,956.47,111.89,146.4,259.38,168.17,13.8157
125176,43269,189594,108252,23934,262143,998.89,85.76,103.7,237.6,114.57,13.8456
121365,42170,188612,104749,23816,262143,824.16,93.8,123.22,259.38,123.28,13.9489
114916,35837,210150,105253,21500,262143,962.53,111.89,117.12,271.26,160.13,14.0098
130395,46122,185282,120280,28406,262143,1115.04,144.05,126.88,268.29,182.24,14.1503
105730,33054,209629,120026,25257,262143,945.36,117.25,163.48,308.88,163.48,14.5262
107324,34771,202283,114082,24828,262143,831.23,125.29,119.56,288.09,176.21,14.551
113445,38489,193166,103600,23470,262143,1223.11,138.69,158.6,279.18,186.93,14.6129
110870,38071,190854,108723,27328,260731,1014.04,140.03,143.96,245.52,186.26,14.8783
111976,37162,197473,116196,25462,262143,826.18,113.9,157.38,280.17,164.82,14.898
121849,39875,200263,109372,23445,262143,1051.41,93.8,107.36,259.38,131.99,14.9775
120403,40219,196194,123104,30261,262143,1400.87,120.6,136.64,321.75,159.46,15.0012
109225,34974,204672,111426,24495,262143,1231.19,89.11,81.74,271.26,132.66,15.4463
122608,42678,188276,101084,20964,262143,1133.22,127.3,161.04,301.95,169.51,16.3531
121853,42012,190083,101832,23057,262143,963.54,101.84,103.7,265.32,115.91,16.887
113101,36710,201912,117007,24055,262143,977.68,145.39,157.38,270.27,188.27,16.9995
120023,39206,200628,116863,26872,262143,756.49,142.04,170.8,232.65,152.09,17.0264
106427,31410,222056,121258,28340,262143,1039.29,113.23,153.72,310.86,174.87,17.6347
