"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
119441,39154,199920,113299,24609,262143,1749.32,123.95,163.48,310.86,192.96,1.58267
134731,46346,190518,108520,24417,262143,1391.78,125.96,131.76,282.15,193.63,1.63206
135281,45126,196467,117974,26858,262143,1143.32,137.35,193.98,293.04,184.25,1.65938
151562,54652,181746,78945,19396,262143,893.85,287.43,180.56,146.52,243.21,3.01505
111309,36967,197331,116473,29624,257669,1541.26,106.53,92.72,290.07,138.69,4.01657
118967,37450,208188,115190,23785,262143,1638.22,121.94,190.32,272.25,162.14,4.09223
131415,45190,190582,118923,23661,262143,1551.36,131.32,183,287.1,186.93,4.14372
116589,38517,198374,114290,22994,262143,1806.89,125.96,109.8,359.37,156.11,4.17105
116092,37703,201794,127906,29428,262143,1677.61,124.62,167.14,314.82,181.57,4.41381
141418,49666,186606,107366,25112,262143,1287.75,96.48,148.84,256.41,120.6,4.78688
127571,44671,187157,101642,20836,262143,1366.53,127.3,159.82,236.61,170.18,5.43319
123435,38395,210690,116649,25982,262143,5866.08,128.64,185.44,280.17,166.83,5.45421
117583,36988,208335,125621,28138,262143,1336.23,109.21,148.84,304.92,181.57,6.14991
115786,37447,202638,117841,23569,262143,1712.96,92.46,109.8,298.98,129.98,6.44206
111309,31020,235163,97895.2,23605,262143,728.21,259.96,162.26,183.15,259.96,7.29855
137501,51518,174915,92690.7,21520,262143,1086.76,142.71,165.92,217.8,178.22,7.34899
100947,36903,179272,93608.2,23975,255879,1784.67,508.53,812.52,391.05,544.71,8.64581
118954,38618,201868,119795,25328,262143,1321.08,125.29,128.1,248.49,180.9,8.66052
111243,34594,210743,119436,27913,262143,1185.74,115.91,158.6,262.35,168.84,8.68049
114167,34998,213786,112593,25279,262143,1476.62,115.91,136.64,266.31,165.49,9.06092
135509,45687,194382,92335.7,20956,262143,841.33,213.73,170.8,180.18,261.3,9.34676
116460,37072,205878,117255,25788,262143,1265.53,125.29,174.46,260.37,172.86,9.36673
119408,41372,189150,112813,24657,262143,1310.98,123.95,119.56,329.67,167.5,9.41087
118081,38995,198450,126243,26029,262143,1487.73,127.97,169.58,244.53,190.95,9.43819
105487,35826,192967,111670,24757,262143,1429.15,128.64,137.86,302.94,150.75,9.93632
122645,39058,205788,108479,23925,262143,953.44,123.95,164.7,239.58,180.9,9.95419
96629.4,30320,208862,113131,27006,262143,1467.53,99.83,119.56,259.38,158.12,10.0078
108654,36014,197721,122742,26819,262143,2040.2,107.2,85.4,295.02,116.58,10.8191
124433,45255,180198,101484,22408,262143,1047.37,141.37,151.28,229.68,192.96,10.9021
123589,39599,204538,106976,25123,262143,1169.58,140.7,185.44,262.35,173.53,10.9305
115890,38975,194868,112550,24563,262143,1414,131.32,122,276.21,166.16,11.2563
126267,44387,186429,108790,25857,262143,1020.1,80.4,115.9,227.7,97.15,11.3004
117891,38159,202471,118219,26215,262143,1637.21,112.56,132.98,276.21,163.48,11.3204
125602,42803,192311,99849.7,23121,262143,1038.28,137.35,154.94,206.91,180.23,11.3656
118250,37653,205817,116175,25182,262143,1121.1,118.59,142.74,248.49,176.21,11.3908
116203,37958,200628,108454,23965,262143,1396.83,127.97,120.78,246.51,182.24,11.4139
119173,39723,196615,121848,27225,262143,1682.66,111.22,176.9,316.8,168.17,11.4444
120788,39035,202792,106783,22947,262143,1173.62,99.83,97.6,250.47,122.61,11.5526
120464,39540,199664,108194,25704,262143,1466.52,125.96,136.64,266.31,168.84,11.9709
133504,47221,185285,109181,21408,262143,1570.55,140.03,181.78,285.12,196.31,12.0308
119504,37355,209659,117274,25189,262143,1700.84,117.92,136.64,291.06,168.17,12.531
114822,36613,205528,124331,29840,262143,1504.9,131.99,146.4,242.55,178.22,12.7139
110032,35703,201973,114734,25019,262143,1692.76,95.14,117.12,269.28,151.42,12.9661
122188,42385,188928,122040,26668,262143,1272.6,117.25,165.92,264.33,165.49,12.9945
123155,42691,189058,122998,31041,259682,1193.82,140.03,179.34,233.64,156.11,13.0123
124822,41358,197793,110672,24252,262143,1188.77,134,123.22,302.94,168.84,13.0344
128679,44147,191023,121779,25011,262143,1321.08,164.15,122,278.19,164.82,13.192
116879,39312,194846,111481,24545,262143,1328.15,138.69,185.44,244.53,199.66,13.2162
99140.6,33253,195389,97141.3,21508,262143,6380.17,144.05,125.66,249.48,184.92,13.4169
118297,39799,194796,115284,24349,262143,1805.88,140.7,175.68,319.77,175.54,13.5493
126153,41878,197421,76042.6,16100,262143,980.71,296.14,201.3,231.66,276.04,13.5704
134341,49263,178718,109973,22725,262143,1030.2,129.98,178.12,240.57,161.47,13.5998
114738,37775,199059,125288,27855,262143,1397.84,134,130.54,311.85,170.18,14.0937
118518,38348,202545,113875,26532,262143,1566.51,120.6,151.28,284.13,170.18,14.1263
122778,41697,192973,102930,22364,262143,1362.49,95.14,147.62,228.69,103.18,14.4962
136842,47482,188873,123763,27381,262143,1723.06,121.94,157.38,312.84,165.49,14.5172
118393,37659,206034,114737,25894,262143,1463.49,91.12,125.66,306.9,123.95,14.8514
120061,40507,194246,122669,27885,262143,1673.57,95.14,117.12,271.26,130.65,15.9233
119593,40027,195809,103089,22819,262143,1492.78,124.62,175.68,267.3,172.19,16.02
117317,40311,190729,106782,24025,262143,2498.74,113.23,151.28,305.91,182.91,16.2323
118308,37294,207900,120873,28517,262143,1816.99,104.52,118.34,296.01,104.52,16.2491
124889,40999,199632,122011,24733,262143,1499.85,124.62,151.28,268.29,182.24,16.2659
118047,37374,206998,123310,25781,262143,1384.71,103.85,136.64,281.16,130.65,16.2838
118162,36350,213035,117380,23111,262143,1507.93,140.7,189.1,292.05,179.56,16.3059
9798.39,10583,60677.2,98.82,91,71167.8,1.01,4.69,-8.54,10.89,4.02,16.619
121619,41335,192826,119354,27961,262143,1558.43,142.71,157.38,297.99,193.63,16.7084
128158,45654,183970,115660,25555,262143,1670.54,77.05,122,281.16,132.66,17.299
136528,49586,180443,120790,26467,262143,1226.14,156.78,176.9,276.21,171.52,17.5985
124272,41785,194909,106070,23112,262143,1207.96,156.11,132.98,246.51,196.31,17.6321
128368,41515,202643,115079,22030,262143,154911,107.2,120.78,261.36,144.72,17.6531
130123,36994,230517,116299,24260,262143,3370.37,105.19,118.34,268.29,121.27,17.6731
144587,51566,183758,105673,24376,262143,1950.31,160.13,146.4,246.51,207.7,17.7162
127924,43158,194254,121197,25743,262143,1580.65,123.95,173.24,274.23,182.24,17.7456
128942,45943,183930,104704,22508,262143,1647.31,144.05,132.98,269.28,196.31,17.7792
124653,43066,189691,116256,25321,262143,1604.89,129.98,158.6,249.48,174.2,17.8276
127900,44219,189558,120917,26146,262143,1642.26,122.61,95.16,304.92,173.53,17.8454
128107,43571,192689,127062,28658,262143,1242.3,121.94,156.16,287.1,170.18,17.8654
123107,39931,202046,124039,27540,262143,1510.96,140.03,223.26,304.92,203.01,18.4497
129021,41966,201485,118924,23212,262143,1572.57,137.35,143.96,299.97,176.88,18.5706
126037,43897,188167,114127,23579,262143,1810.93,111.89,135.42,286.11,144.05,18.601
117118,37299,205782,108858,21457,262143,2535.1,84.42,145.18,261.36,127.3,18.6662
128732,43058,195936,116083,25780,262143,1696.8,150.08,156.16,235.62,194.3,18.6841
123905,41782,194348,108947,24123,262143,1374.61,105.19,74.42,241.56,127.3,19.1875
130112,44604,191171,105869,23952,262143,1452.38,134.67,117.12,277.2,184.92,19.2768
120711,38538,205275,119065,29956,260483,1516.01,119.93,161.04,272.25,158.79,19.5952
129523,43295,196059,99703.3,24201,262143,1252.4,140.03,153.72,223.74,179.56,19.6194
118735,36763,211665,104314,24140,262143,1325.12,133.33,169.58,208.89,190.95,19.7791
125453,43172,190440,120077,25636,262143,1571.56,132.66,209.84,294.03,199.66,19.88
129545,43854,193594,114368,22836,262143,1696.8,117.25,168.36,283.14,172.86,20.3949
