"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
126867,42195,197046,115994,25409,262143,39413.2,101.17,140.3,266.31,143.38,0.581385
118285,38290,202453,107011,21777,262143,70346.5,107.2,135.42,313.83,156.11,0.701082
115130,37362,201948,121510,25680,262143,58546.7,138.69,195.2,268.29,189.61,0.947517
131614,44054,195793,110215,25323,262143,38231.5,144.72,145.18,264.33,200.33,1.14969
138791,49559,183536,105373,20605,262143,43159.3,138.02,146.4,250.47,172.86,1.36193
135673,48501,183325,116728,24346,262143,35919.6,152.09,179.34,263.34,201,1.40116
128835,42815,197206,118331,27361,262143,46666,155.44,174.46,296.01,186.93,1.4605
79518.1,44766,116412,3341.58,1382,158461,102.01,0.67,13.42,1.98,0.67,1.65061
141861,50285,184886,97894,22577,262143,25946.9,131.99,143.96,262.35,176.21,1.89202
82058,30058,178913,17443.6,5806,196897,260.58,54.27,21.96,46.53,87.77,2.87373
92554.8,33081,183358,91586.6,22312,262143,82842.2,101.84,134.2,262.35,123.95,2.95822
127213,42171,197696,118990,28297,262143,38118.4,105.19,103.7,248.49,146.73,3.49233
124183,40155,202676,114282,22669,262143,41699.9,101.17,143.96,282.15,142.71,3.57481
146307,51296,186923,100372,23527,262143,23966.3,144.05,142.74,189.09,175.54,3.6583
126112,40739,202874,113410,22654,262143,46419.6,152.09,117.12,301.95,198.32,3.96106
128061,40913,205133,113401,26071,262143,40002.1,140.03,192.76,254.43,168.84,4.14513
135557,45182,196624,111823,22703,262143,64754.1,122.61,107.36,256.41,159.46,4.17732
124877,41739,196074,119601,25180,262143,40670.7,144.05,154.94,323.73,216.41,4.60079
118416,40903,189730,95167.3,22949,262143,56577.2,123.28,129.32,239.58,180.23,5.18519
119527,38210,205008,113317,24608,262143,41463.5,135.34,181.78,292.05,168.17,5.20028
150117,54726,179770,101797,26349,253192,28669.9,160.13,150.06,212.85,203.68,5.28779
136676,46248,193677,110261,27077,262143,41631.2,125.29,129.32,261.36,192.29,5.30388
136705,51717,173233,109244,22470,262143,64411.7,138.69,163.48,283.14,185.59,6.27654
127775,41003,204225,118838,24775,262143,44191.5,289.44,173.24,264.33,233.83,6.29565
123600,44092,183712,97345,25805,247224,38455.8,133.33,152.5,212.85,179.56,6.60546
