"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
116313,38118,199976,121179,25356,262143,19200.1,127.97,178.12,348.48,191.62,0.436737
126369,43543,190196,123187,26160,262143,15420.7,127.97,168.36,292.05,190.95,0.858344
117632,39275,196286,123641,27277,262143,21556.4,142.04,169.58,292.05,194.3,1.52807
131587,45598,189124,94174.2,20797,262143,18011.3,73.7,93.94,285.12,103.85,3.18223
125581,44527,184833,110448,22940,262143,17766.9,123.28,175.68,331.65,172.19,3.47372
9369.91,10675,57523.8,63.44,65,63963.1,5.05,10.05,-1.22,4.95,-7.37,3.61695
146625,54338,176841,108357,22723,262143,14774.3,148.07,190.32,273.24,201.67,4.25036
122972,42870,187989,113882,27073,262143,19195.1,142.04,148.84,241.56,178.22,5.69674
152118,56594,176153,108767,25867,262143,14334.9,126.63,150.06,215.82,182.91,5.72397
146173,51905,184561,117342,25136,262143,10369.7,138.69,102.48,257.4,158.12,6.54298
139800,50317,182084,112845,24617,262143,16254.9,136.01,209.84,267.3,179.56,6.73361
127560,42892,194903,98485.7,22080,262143,15165.1,149.41,200.08,239.58,208.37,6.84859
120239,50515,155993,93427.6,26188,233804,21458.5,122.61,146.4,238.59,188.94,7.61011
121395,37818,210369,132015,27768,262143,14693.5,145.39,164.7,288.09,183.58,7.6212
118503,38050,204105,125577,26872,262143,17238.7,139.36,184.22,276.21,164.82,7.63734
123917,42850,189523,118599,28986,262143,12705.8,154.77,147.62,255.42,190.28,7.76241
125203,42518,192984,116406,25533,262143,15005.6,118.59,142.74,285.12,168.17,7.84815
126499,42982,192878,98716.3,20934,262143,10736.3,127.97,142.74,220.77,175.54,8.86989
139804,48959,187140,111676,22377,262143,44447.1,223.11,251.32,367.29,316.91,8.93646
262143,55023,262143,262143,30187,262143,163565,522.6,657.58,861.3,705.51,8.93646
118452,37929,204669,115966,23406,262143,15821.6,132.66,157.38,261.36,168.17,9.0111
133178,46415,188042,113666,24401,262143,13949.1,134.67,198.86,278.19,172.86,9.57391
129162,44051,192158,106607,26117,262143,13178.5,156.78,173.24,311.85,211.05,9.60316
118725,39429,197336,123914,26980,262143,16351.9,120.6,154.94,315.81,180.9,9.7948
129493,45366,187066,115289,27204,262143,15671.2,105.86,82.96,236.61,137.35,9.97333
117749,38238,201809,115036,25244,262143,15990.3,136.01,192.76,259.38,181.57,10.2527
133503,45160,193740,122633,27061,262143,13389.6,142.04,173.24,305.91,178.89,10.288
103883,40410,168475,92138.1,22192,262143,24827.8,121.27,156.16,238.59,184.25,11.2381
119722,36293,216188,111709,22624,262143,14592.5,91.79,146.4,247.5,127.3,11.2745
129238,42611,198769,113351,24900,262143,16186.3,127.3,156.16,298.98,193.63,11.4358
126503,43807,189250,117889,26464,262143,12761.3,132.66,146.4,246.51,184.92,11.4722
128963,44970,187942,109521,23269,262143,11602.9,117.25,172.02,225.72,186.93,11.7082
114063,41354,180762,120763,26912,262143,19242.5,132.66,140.3,317.79,198.32,12.3063
122171,39633,202019,125195,28160,262143,14991.4,127.3,147.62,323.73,176.88,12.3214
121581,39526,201587,118966,23833,262143,17200.3,122.61,153.72,297,162.81,12.3446
110990,36204,200912,108155,25341,262143,13597.6,123.28,103.7,271.26,156.78,12.389
120559,40983,192787,108232,22020,262143,15195.5,144.72,145.18,261.36,186.93,12.6865
117891,37492,206073,120789,23771,262143,20994.9,103.85,167.14,295.02,144.05,13.1677
122105,40055,199783,128193,28705,262143,20574.7,146.73,181.78,302.94,188.27,13.7375
145367,53442,178264,106229,22276,262143,10239.4,148.74,118.34,225.72,196.31,13.7718
129911,42462,200505,114833,25416,262143,13907.7,150.75,118.34,289.08,183.58,14.0946
129962,46006,185133,122832,25751,262143,14834.9,138.69,147.62,306.9,168.17,14.1228
120501,39082,202066,130133,27553,262143,17377.1,138.69,161.04,300.96,189.61,14.3639
124312,41692,195407,117819,26422,262143,16643.8,167.5,164.7,311.85,197.65,14.3831
121508,42562,187095,111695,23586,262143,15737.8,131.99,208.62,237.6,186.26,15.1849
123316,43369,186346,107957,23220,262143,18947.6,145.39,179.34,265.32,196.31,15.2152
123667,41746,194142,120364,25436,262143,11155.5,138.02,184.22,316.8,191.62,16.012
136769,50379,177917,101556,23771,262143,15090.4,136.68,164.7,239.58,180.9,16.0291
118708,39647,196222,128956,27329,262143,22523,146.06,206.18,312.84,192.96,16.0493
132021,46195,187296,109829,22017,262143,18642.6,131.99,183,243.54,187.6,16.4195
146330,51326,186843,102359,22423,262143,11663.5,147.4,174.46,234.63,178.89,16.4881
131216,44394,193705,72565.6,18040,262143,9656.61,371.85,233.02,189.09,294.8,17.3958
134780,47238,186988,115466,29826,253710,14895.5,156.11,151.28,280.17,190.28,17.5058
134910,47303,186912,110569,23416,262143,16139.8,144.05,183,282.15,198.32,18.0988
134174,44070,199529,118922,26144,262143,18159.8,148.07,185.44,271.26,171.52,18.1231
130469,43376,197123,124046,24777,262143,14257.2,143.38,184.22,278.19,192.96,18.4256
129549,44681,190017,112738,21392,262143,18991,99.83,168.36,267.3,167.5,19.4787
135497,46714,190091,118557,25325,262143,13307.8,129.31,170.8,254.43,176.21,19.8871
116807,38398,199361,116692,23913,262143,19389,145.39,157.38,296.01,185.59,21.1701
130762,41916,204447,107160,24039,262143,16234.7,159.46,195.2,240.57,192.96,21.8631
136911,46034,194912,130780,27252,262143,23743.1,149.41,180.56,311.85,219.76,21.8903
135028,47762,185277,107240,21524,262143,12823,152.09,132.98,272.25,194.3,22.2766
130014,42528,200352,108682,23460,262143,21874.6,148.74,168.36,308.88,192.96,22.3916
145818,52626,181590,66751.1,17498,250006,6319.57,312.89,184.22,152.46,250.58,22.4238
118087,37394,206958,114146,22505,262143,18048.7,144.05,153.72,263.34,188.27,22.44
121396,40218,197817,118800,25756,262143,19712.2,125.96,156.16,294.03,172.19,22.4945
153587,56158,179235,103588,23076,262143,12266.5,152.09,159.82,206.91,180.23,22.5136
119929,37913,207308,120933,25221,262143,14320.8,147.4,220.82,289.08,182.91,23.0391
129148,43957,192548,114223,24005,262143,21203.9,102.51,147.62,294.03,156.78,23.0613
200923,35979,262143,219968,25875,262143,30884.8,180.23,229.36,468.27,284.08,23.8107
